subbasn,MassFlux_Low,MassFlux_Median,MassFlux_High,subbasin,mask,name
124.0,79448.68827273026,330817.1305233607,933650.6894095391,124,0,Downstream_subbasin
125.0,60883.632261767314,253513.92148271156,715481.2303486059,125,0,Kouilou
126.0,53004860.86388841,220707432.13013092,622892913.1937883,126,0,Krishna
127.0,299277.7017985361,1246165.2003460494,3516997.4317249153,127,0,Kuban
128.0,406956.4085716799,1694529.5669278519,4782396.533952516,128,0,Kura
129.0,4541.157971375781,18908.969827000452,53365.9568568094,129,0,Kuskowin
130.0,18085.086943427516,75304.66138537525,212529.04559983988,130,0,Kymijoki
131.0,3013.5447559881613,12548.126980491743,35414.02885515707,131,0,La Grande
132.0,79200.41459851837,329783.3414668903,930733.0718612863,132,0,Upstream_subbasin
133.0,39320.29199915156,163726.12881721728,462077.07806036813,133,0,Aldan-subbasin
134.0,10576.490032421467,44039.54501455931,124290.87786075885,134,0,Vilyuy_subbasin
135.0,128860.44551337157,536563.2051262875,1514318.8189360553,135,0,Middlestream_stem_subbasi
136.0,191533.4469732149,797527.8976213831,2250828.0337827425,136,0,Downstream_subbasin
137.0,220900.94787219135,919811.5071970525,2595943.706006822,137,0,Liao
138.0,117118.30728090252,487670.0067522703,1376329.6879103417,138,0,Limpopo
139.0,274719.78629910445,1143908.2680570155,3228402.173137424,139,0,Loire
140.0,505118.34842656495,2103266.9794062646,5935958.220266076,140,0,Luan
141.0,15257.037115739182,63528.918458552616,179294.8824096085,141,0,Lulealven
142.0,9046.970579762545,37670.76476898337,106316.54848557571,142,0,Slave_subbasin
143.0,11296.460378401353,47037.43622078491,132751.6948294547,143,0,Hay-subbasin
144.0,223646.9197901932,931245.4851539031,2628213.3209001576,144,0,Delta-subbasin
145.0,16818.50697731383,70030.73730836915,197644.68080712063,145,0,South_Nahanni-subbasin
146.0,4404.612688586202,18340.407656610867,51761.32876056595,146,0,Great_Bear-subbasin
147.0,2689333.5870161997,11198141.08475553,31604022.824776288,147,0,Magdalena
148.0,31081812.645039696,129421848.16695127,365261610.166823,148,0,Mahanadi
149.0,104333.98036502014,434437.2292460315,1226093.1528818908,149,0,Mearim
150.0,1688723.8619148047,7031692.962975401,19845238.885338165,150,0,Middlestream_stem_subbasin
151.0,2165910.815821113,9018656.149485957,25452958.007930446,151,0,Upstream_subbasin
152.0,10378815.328179514,43216445.47879489,121967880.11332247,152,0,Downstream_subbasin
153.0,2636106.9962908025,10976510.389597017,30978524.226799514,153,0,Mun_Chi_subbasin
154.0,1769842.4616575881,7369463.453368652,20798513.737577375,154,0,Menjiang
155.0,10020.156818299318,41723.02398051854,117753.06206796049,155,0,Mezen
156.0,36727725.023945495,152930915.1255435,431610219.55878645,156,0,Missouri_subbasin
157.0,231963191.53481555,965873686.2610668,2725942975.3033853,157,0,Ohio_subbasin
158.0,6600171.699656614,27482516.201483134,77562701.05369179,158,0,Upper_Mississippi_subbasi
159.0,5999477.526195708,24981280.157103453,70503572.18235248,159,0,Arkansas_White_subbasin
160.0,92841845.9840833,386585024.2298877,1091041971.7885518,160,0,Lower_subbasin
161.0,1068992.361350603,4451187.215570185,12562390.60514602,161,0,Red_subbasin
162.0,7050.074245076004,29355.869586247383,82849.78421176702,162,0,Moose
163.0,107841.53393073534,449042.36409462243,1267312.5848947787,163,0,Murray
164.0,4825.507413181444,20092.975107001486,56707.52306950417,164,0,Nadym
165.0,50271414.26093659,209325608.44887412,590770491.0267994,165,0,Narmada
166.0,8128.774966101304,33847.48153077781,95526.26375784307,166,0,Narva
167.0,24075.939191752448,100250.02666789474,282931.25680562406,167,0,Red_subbasin
168.0,4837.219150907984,20141.741720426697,56845.15494537645,168,0,Saskatchewan_subbasin
169.0,73089.67725160242,304338.78550960164,858922.0166911413,169,0,Winnipeg_Lake-subbasin
170.0,150427.4229963509,626366.1428474135,1767765.71445107,170,0,land
171.0,59.78916112166831,248.9566429438227,702.6194228511116,171,0,land
172.0,15.473620418331642,64.43075168249402,181.84008679468147,172,0,land
